,artist,song_name,spotify_track_id
0,Ariana Grande,Santa Tell Me,0lizgQ7Qw35od7CYaoMBZb
1,J. Cole,No Role Modelz,68Dni7IE4VyPkTOH9mRWHr
2,Steve Lacy,Dark Red,3EaJDYHA0KnX88JvDhL9oa
3,Kelly Clarkson,Underneath the Tree,3YZE5qDV7u1ZD1gZc47ZeR
4,The Weeknd,Die For You,2Ch7LmS7r2Gy2kc64wv3Bz
5,Beach House,Space Song,7H0ya83CMmgFcOhw0UB6ow
6,XXXTENTACION,Revenge,5TXDeTFVRVY7Cvt0Dw4vWW
7,Arctic Monkeys,I Wanna Be Yours,5XeFesFbtLpXzIVDNQP22n
8,Kanye West,Bound 2,3sNVsP50132BTNlImLx70i
9,Cigarettes After Sex,Apocalypse,3AVrVz5rK8Hrqo9YGiVGN5
10,The Weeknd,Die For You,2LBqCSwhJGcFQeTHMVGwy3
11,J. Cole,Wet Dreamz,4tqcoej1zPvwePZCzuAjJd
12,Frank Ocean,Pink + White,3xKsf9qdS1CyvXSMEid6g8
13,The Weeknd,I Was Never There,1cKHdTo9u0ZymJdPGSh6nq
14,Childish Gambino,Me and Your Mama,4AFsRbaLKRWo3dDtjDFA2V
15,Juice WRLD,All Girls Are The Same,4VXIryQMWpIdGgYR4TrjT1
16,The Walters,I Love You So,4SqWKzw0CbA05TGszDgMlc
17,Lil Baby,Freestyle,5BbdKBZO0TH0GhfxUfyhL9
18,Beach Weather,"Sex, Drugs, Etc.",7DbdUf8aHSYoliSjO6LZv6
19,Lil Uzi Vert,20 Min,0uxSUdBrJy9Un0EYoBowng
20,Sia,Snowman,7uoFMmxln0GPXQ0AcCBXRq
21,Lil Peep,Star Shopping,6Ox1rvlwEpB49drasQm6RF
22,Joji,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d
23,TV Girl,Lovers Rock,6dBUzqjtbnIa1TwYbyw5CM
24,Lil Baby,Pure Cocaine,577YBGuskWkVDCxZrLRB4v
25,Mr.Kitty,After Dark,2LKOHdMsL0K9KwcPRlJK2v
26,Chris Stapleton,Tennessee Whiskey,3fqwjXwUGN6vbzIwvyFMhx
27,Taylor Swift,Don’t Blame Me,1R0a2iXumgCiFb7HEZ7gUE
28,Future,Solo,4lH6nENd1y81jp7Yt9lTBX
29,Tyler Childers,Feathered Indians,2tgQaL85WoRfgEa4hFQgrE
30,Kendrick Lamar,LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As
31,Lord Huron,The Night We Met,0QZ5yyl6B6utIWkxeBDxQN
32,White Noise Baby Sleep,Clean White Noise - Loopable with no fade,2bRKxuH1o7pTmb1y4GfdEc
33,Kanye West,Father Stretch My Hands Pt. 1,4KW1lqgSr8TKrvBII0Brf8
34,TV Girl,Not Allowed,3IznIgmXtrUaoPWpQTy5jB
35,Vundabar,Alien Blues,11iIikXxC6NP0Ma8vMD27x
36,21 Savage,ball w/o you,50a8bKqlwDEqeiEknrzkTO
37,Arctic Monkeys,Why'd You Only Call Me When You're High?,086myS9r57YsLbJpU0TgK9
38,Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4
39,Mac DeMarco,Chamber Of Reflection,7H7NyZ3G075GqPx2evsfeb
40,The Neighbourhood,Daddy Issues,5E30LdtzQTGqRvNd7l6kG5
41,$uicideboy$,Antarctica,5UGAXwbA17bUC0K9uquGY2
42,Mac DeMarco,For the First Time,2R4AlwtrrkMaRKojcTIzmL
43,The Weeknd,Stargirl Interlude,5gDWsRxpJ2lZAffh5p7K0w
44,XXXTENTACION,Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7
45,Vacations,Telephones,0JIMT9gzLIIz0esKLyjbKf
46,A Boogie Wit da Hoodie,My Shit,5uQOauh47VFt3B2kV9kRXw
47,Ruth B.,Dandelions,2eAvDnpXP5W0cVtiI0PUxV
48,SZA,Broken Clocks,2fXwCWkh6YG5zU1IyvQrbs
49,XXXTENTACION,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96
50,Kendrick Lamar,PRIDE.,6IZvVAP7VPPnsGX6bvgkqg
51,XXXTENTACION,Hope,2ZRo7axmMPeSVUvDbGkJah
52,Tyler Childers,Lady May,3t5OV1asJHmOlf23T08CLv
53,girl in red,we fell in love in october,6IPwKM3fUUzlElbvKw2sKl
54,Vacations,Young,1KIJclzEbNhSVw8tiHPWwE
55,The Neighbourhood,Softcore,2K7xn816oNHJZ0aVqdQsha
56,XXXTENTACION,Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2
57,Tame Impala,The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ
58,Juice WRLD,Lean Wit Me,3oDkdAySo1VQQG0ptV7uwa
59,Cigarettes After Sex,Sunsetz,69UqtTHfUKAJweQwEStRzC
60,TV Girl,Cigarettes out the Window,6QeYSvYqYUsfBzsApbjDHO
61,Metro Boomin,10 Freaky Girls (with 21 Savage),0AluA5RNsa4Cx6XRhf2hWZ
62,$uicideboy$,Kill Yourself (Part III),0kEZlJh4mK1QRfb3CT5LPk
63,80purppp,Hex,7D7e6hm2LiNd6nLuJF6K9Q
64,The Neighbourhood,You Get Me So High,7zwn1eykZtZ5LODrf7c0tS
65,Cage The Elephant,Cigarette Daydreams,2tznHmp70DxMyr2XhWLOW0
66,Mitski,Washing Machine Heart,3jjsRKEsF42ccXf8kWR3nu
67,Kendrick Lamar,Alright,3iVcZ5G6tvkXZkZKlMpIUs
68,Luke Combs,When It Rains It Pours,1mMLMZYXkMueg65jRRWG1l
69,Drake,Teenage Fever,6n3HGiq4v35D6eFOSwqYuo
70,Kali Uchis,Melting,2kSb3wYSOV996xA2NSmpck
71,Arctic Monkeys,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst
72,Joey Bada$$,Love Is Only a Feeling,7umZiitjVsEjMQ6HNddpUI
73,Metro Boomin,Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz
74,Michael Jackson,Chicago,5BKKy9fIJL5uM9fz1SnqyP
75,Playboi Carti,Shoota (feat. Lil Uzi Vert),2BJSMvOGABRxokHKB0OI8i
76,The Lumineers,Ophelia,3d8y0t70g7hw2FOWl9Z4Fm
77,Sam Smith,Have Yourself A Merry Little Christmas,1Qi2wh8fFgDV7tl4Sj3f2K
78,Kanye West,Violent Crimes,3s7MCdXyWmwjdcWh7GWXas
79,Frank Ocean,Ivy,2ZWlPOoWh0626oTaHrnl2a
80,Childish Gambino,3005,5cc9Zbfp9u10sfJeKZ3h16
81,A Boogie Wit da Hoodie,Still Think About You,2FTeQQ5Rg9tBpgpTF5mnhE
82,Juice WRLD,Armed And Dangerous,5wujBwqG7INdStqGd4tRMX
83,Steve Lacy,C U Girl,6FBzhcfgGacfXF3AmtfEaX
84,Daniel Caesar,Get You (feat. Kali Uchis),7zFXmv6vqI4qOt4yGf3jYZ
85,$uicideboy$,Paris,6tO5bxNnMuh1c3cziSpecA
86,Luke Combs,She Got the Best of Me,698eQRku24PIYPQPHItKlA
87,Idina Menzel,Baby It's Cold Outside (with Michael Bublé),0Ie5uiv54KgCr7P4sYDTHl
88,Mac Miller,Self Care,5bJ1DrEM4hNCafcDd1oxHx
89,Cigarettes After Sex,K.,7LX4aXtvImhdgUHQBlo8Kp
90,The Weeknd,Party Monster,4F7A0DXBrmUAkp32uenhZt
91,WILLOW,Wait a Minute!,0y60itmpH0aPKsFiGxmtnh
92,Cults,Always Forever,2enPRFda84VE2wtI8c86Uf
93,Travis Scott,90210 (feat. Kacy Hill),51EC3I1nQXpec4gDk0mQyP
94,Joy Again,Looking Out for You,3jfZ9M23l0L7RxzYMTgBTv
95,Tom Odell,Another Love,3JvKfv6T31zO0ini8iNItO
96,Steve Lacy,Some,4riDfclV7kPDT9D58FpmHd
97,Gwen Stefani,You Make It Feel Like Christmas (feat. Blake Shelton),2OQ6a4CfUeYskpTTgyawyJ
98,Trippie Redd,Taking A Walk,4mHgYpuGHu99Mw69E83CP2
99,Trippie Redd,1400 / 999 Freestyle,75lcPkAkUsKWHGBlGM476R
100,BØRNS,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ
101,Bing Crosby,Winter Wonderland - Remastered,3pdQTWpq09XCBosbTtYIiZ
102,Frank Ocean,Nights,7eqoqGkKwgOaWNNHx90uEZ
103,Mac Miller,Small Worlds,4gT3mNJA8lnlkYFqGZ8IA2
104,Tyler Childers,Shake the Frost (Live),19MkwMrRjO7773zpuGss1o
105,Kodak Black,No Flockin',34oWbFBfGEElvgO0a5c9V4
106,Brent Faiyaz,Trust,0oufSLnKQDoBFX5mgkDCgR
107,Seafret,Atlantis,1Fid2jjqsHViMX6xNH70hE
108,Vansire,From the Subway Train,0qOCy2LqvdkMora7eZsJhQ
109,Mac Miller,Weekend (feat. Miguel),6GnhWMhgJb7uyiiPEiEkDA
110,Ty Dolla $ign,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",7t2bFihaDvhIrd2gn2CWJO
111,Pentatonix,Hallelujah,0HZk0QsXPhMNAWNDR3rYE8
112,$uicideboy$,For the Last Time,240audWazVjwvwh7XwfSZE
113,The Weeknd,Often,4PhsKqMdgMEUSstTDAmMpg
114,Lil Peep,Falling Down - Bonus Track,4jvjzW7Hm0yK4LvvE0Paz9
115,Kali Uchis,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",1otG6j1WHNvl9WgXLWkHTo
116,Sia,Unstoppable,1yvMUkIOTeUNtNWlWRgANS
117,Billie Eilish,Bored,04sN26COy28wTXYj3dMoiZ
118,A Boogie Wit da Hoodie,Jungle,5uZm7EFtP5aoTJvx5gv9Xf
119,Young Nudy,EA (feat. 21 Savage),68MTDH8Kk4jBEV1ah0n89s
120,Tom Odell,Another Love,7otCGmgp9h4CsR2LhwB6gt
121,Lil Uzi Vert,Money Longer,0B8QzDH7YWih85V5SEMnyJ
122,Bing Crosby,It's Beginning To Look A Lot Like Christmas,1uh1iaMqBdx4XyrXhssKGD
123,MGMT,Little Dark Age,2Y0iGXY6m6immVb2ktbseM
124,Lil Baby,Life Goes On,2bSk87AVkCIIC3Bcligq1z
125,$uicideboy$,Runnin' Thru the 7th with My Woadies,1tm7c4V0kqLiN0XPVnoUcT
126,Lil Peep,white tee,4TVsTKQVeC99tCjfRKLeob
127,GoldLink,Crew (feat. Brent Faiyaz & Shy Glizzy),15EPc80XuFrb2LmOzGjuRg
128,Jhené Aiko,Sativa,2pg2TiYo9Rb8KeB5JjP7jS
129,Lana Del Rey,Young And Beautiful,2nMeu6UenVvwUktBCpLMK9
130,Lorde,Ribs,2MvvoeRt8NcOXWESkxWn3g
131,The Weeknd,Can't Feel My Face,22VdIZQfgXJea34mQxlt81
132,Summer Walker,Girls Need Love (with Drake) - Remix,14SaZBTjxlorHJQxXh01Hu
133,Panic! At The Disco,House of Memories,2DgdHcjWmO3qd50RzuBLgZ
134,Chase Atlantic,Swim,3M0lSi5WW79CXQamgSBIjx
135,Ski Mask The Slump God,Nuketown (feat. Juice WRLD),74lnM5V6ecvoTPV0fvptx9
136,J. Cole,Love Yourz,2e3Ea0o24lReQFR4FA7yXH
137,Rainbow Kitten Surprise,It's Called: Freefall,474uVhyGgK5MtY9gMcDgGl
138,Joji,YEAH RIGHT,1VGzxJnVQND7Cg5H5wGj14
139,Playboi Carti,Fell In Luv (feat. Bryson Tiller),1s9DTymg5UQrdorZf43JQm
140,The Weeknd,Stargirl Interlude,4EDijkJdHBZZ0GwJ12iTAj
141,Brent Faiyaz,Poison,5NijSs5dAwaIybq1GaRTIe
