,artist,song_name,spotify_track_id
0,The Neighbourhood,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6
1,Ariana Grande,Santa Tell Me,0lizgQ7Qw35od7CYaoMBZb
2,J. Cole,No Role Modelz,68Dni7IE4VyPkTOH9mRWHr
3,Steve Lacy,Dark Red,3EaJDYHA0KnX88JvDhL9oa
4,Kelly Clarkson,Underneath the Tree,3YZE5qDV7u1ZD1gZc47ZeR
5,The Weeknd,Die For You,2Ch7LmS7r2Gy2kc64wv3Bz
6,Beach House,Space Song,7H0ya83CMmgFcOhw0UB6ow
7,XXXTENTACION,Revenge,5TXDeTFVRVY7Cvt0Dw4vWW
8,Arctic Monkeys,I Wanna Be Yours,5XeFesFbtLpXzIVDNQP22n
9,Kanye West,Bound 2,3sNVsP50132BTNlImLx70i
10,Cigarettes After Sex,Apocalypse,3AVrVz5rK8Hrqo9YGiVGN5
11,The Weeknd,Die For You,2LBqCSwhJGcFQeTHMVGwy3
12,J. Cole,Wet Dreamz,4tqcoej1zPvwePZCzuAjJd
13,Frank Ocean,Pink + White,3xKsf9qdS1CyvXSMEid6g8
14,"Tyler, The Creator",See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB
15,The Weeknd,Starboy,7MXVkk9YMctZqd1Srtv4MB
16,The Weeknd,I Was Never There,1cKHdTo9u0ZymJdPGSh6nq
17,Childish Gambino,Me and Your Mama,4AFsRbaLKRWo3dDtjDFA2V
18,Morgan Wallen,Whiskey Glasses,6foY66mWZN0pSRjZ408c00
19,Juice WRLD,All Girls Are The Same,4VXIryQMWpIdGgYR4TrjT1
20,The Weeknd,The Hills,7fBv7CLKzipRk6EC6TWHOB
21,Lil Baby,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE
22,The Walters,I Love You So,4SqWKzw0CbA05TGszDgMlc
23,Lil Baby,Freestyle,5BbdKBZO0TH0GhfxUfyhL9
24,Beach Weather,"Sex, Drugs, Etc.",7DbdUf8aHSYoliSjO6LZv6
25,Lil Baby,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ
26,Bryson Tiller,Don't,3pXF1nA74528Edde4of9CC
27,Lil Uzi Vert,20 Min,0uxSUdBrJy9Un0EYoBowng
28,The Weeknd,Call Out My Name,09mEdoA6zrmBPgTEN5qXmN
29,Morgan Wallen,Chasin' You,5MwynWK9s4hlyKHqhkNn4A
30,Offset,Ric Flair Drip (with Metro Boomin),7sO5G9EABYOXQKNPNiE9NR
31,Sia,Snowman,7uoFMmxln0GPXQ0AcCBXRq
32,Lil Peep,Star Shopping,6Ox1rvlwEpB49drasQm6RF
33,Joji,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d
34,TV Girl,Lovers Rock,6dBUzqjtbnIa1TwYbyw5CM
