song_name,artist,location_at_chart,year_of_billboard
heat waves,glass animals,1,2022
as it was,harry styles,2,2022
stay,the kid laroi & justin bieber,3,2022
easy on me,adele,4,2022
shivers,ed sheeran,5,2022
first class,jack harlow,6,2022
big energy,latto,7,2022
ghost,justin bieber,8,2022
super gremlin,kodak black,9,2022
cold heart (pnau remix),elton john & dua lipa,10,2022
wait for u,future featuring drake & tems,11,2022
about damn time,lizzo,12,2022
bad habits,ed sheeran,13,2022
thats what i want,lil nas x,14,2022
enemy,imagine dragons x jid,15,2022
industry baby,lil nas x & jack harlow,16,2022
abcdefu,gayle,17,2022
need to know,doja cat,18,2022
wasted on you,morgan wallen,19,2022
me porto bonito,bad bunny & chencho corleone,20,2022
woman,doja cat,21,2022
titi me pregunto,bad bunny,22,2022
running up that hill (a deal with god),kate bush,23,2022
we don't talk about bruno,"carolina gaitan, mauro castillo, adassa, rhenzy feliz, diane guerrero, stephanie beatriz & encanto cast",24,2022
late night talking,harry styles,25,2022
i like you (a happier song),post malone featuring doja cat,26,2022
you proof,morgan wallen,27,2022
bad habit,steve lacy,28,2022
sunroof,nicky youre & dazy,29,2022
one right now,post malone & the weeknd,30,2022
good 4 u,olivia rodrigo,31,2022
numb little bug,em beihold,32,2022
jimmy cooks,drake featuring 21 savage,33,2022
'til you can't,cody johnson,34,2022
fancy like,walker hayes,35,2022
the kind of love we make,luke combs,36,2022
i ain't worried,onerepublic,37,2022
break my soul,beyonce,38,2022
something in the orange,zach bryan,39,2022
save your tears,the weeknd & ariana grande,40,2022
smokin out the window,silk sonic (bruno mars & anderson .paak),41,2022
levitating,dua lipa,42,2022
in a minute,lil baby,43,2022
moscow mule,bad bunny,44,2022
you right,doja cat & the weeknd,45,2022
she had me at heads carolina,cole swindell,46,2022
vegas,doja cat,47,2022
pushin p,gunna & future featuring young thug,48,2022
buy dirt,jordan davis featuring luke bryan,49,2022
i hate u,sza,50,2022
boyfriend,dove cameron,51,2022
glimpse of us,joji,52,2022
surface pressure,jessica darrow,53,2022
fall in love,bailey zimmerman,54,2022
love nwantiti (ah ah ah),ckay,55,2022
super freaky girl,nicki minaj,56,2022
hrs and hrs,muni long,57,2022
sand in my boots,morgan wallen,58,2022
mamiii,becky g x karol g,59,2022
knife talk,drake featuring 21 savage & project pat,60,2022
aa,walker hayes,61,2022
sweetest pie,megan thee stallion & dua lipa,62,2022
provenza,karol g,63,2022
essence,wizkid featuring justin bieber & tems,64,2022
all i want for christmas is you,mariah carey,65,2022
bam bam,camila cabello featuring ed sheeran,66,2022
5 foot 9,tyler hubbard,67,2022
get into it (yuh),doja cat,68,2022
efecto,bad bunny,69,2022
rock and a hard place,bailey zimmerman,70,2022
doin' this,luke combs,71,2022
oh my god,adele,72,2022
better days,neiked x mae muller x polo g,73,2022
meet me at our spot,the anxiety: willow & tyler cole,74,2022
fingers crossed,lauren spencer-smith,75,2022
all too well (taylor's version),taylor swift,76,2022
party,bad bunny & rauw alejandro,77,2022
despues de la playa,bad bunny,78,2022
you should probably leave,chris stapleton,79,2022
rockin' around the christmas tree,brenda lee,80,2022
broadway girls,lil durk featuring morgan wallen,81,2022
take my name,parmalee,82,2022
what happened to virgil,lil durk featuring gunna,83,2022
puffin on zootiez,future,84,2022
like i love country music,kane brown,85,2022
jingle bell rock,bobby helms,86,2022
ojitos lindos,bad bunny & bomba estereo,87,2022
trouble with a heartbreak,jason aldean,88,2022
a holly jolly christmas,burl ives,89,2022
kiss me more,doja cat featuring sza,90,2022
she likes it,russell dickerson & jake scott,91,2022
never say never,cole swindell / lainey wilson,92,2022
damn strait,scotty mccreery,93,2022
she's all i wanna be,tate mcrae,94,2022
last night lonely,jon pardi,95,2022
flower shops,ernest featuring morgan wallen,96,2022
to the moon!,jnr choi & sam tompkins,97,2022
unholy,sam smith & kim petras,98,2022
one mississippi,kane brown,99,2022
circles around this town,maren morris,100,2022
levitating,dua lipa,1,2021
save your tears,the weeknd & ariana grande,2,2021
blinding lights,the weeknd,3,2021
mood,24kgoldn featuring iann dior,4,2021
good 4 u,olivia rodrigo,5,2021
kiss me more,doja cat featuring sza,6,2021
leave the door open,silk sonic (bruno mars & anderson .paak),7,2021
drivers license,olivia rodrigo,8,2021
montero (call me by your name),lil nas x,9,2021
peaches,justin bieber featuring daniel caesar & giveon,10,2021
butter,bts,11,2021
stay,the kid laroi & justin bieber,12,2021
deja vu,olivia rodrigo,13,2021
positions,ariana grande,14,2021
bad habits,ed sheeran,15,2021
heat waves,glass animals,16,2021
without you,the kid laroi,17,2021
forever after all,luke combs,18,2021
go crazy,chris brown & young thug,19,2021
astronaut in the ocean,masked wolf,20,2021
34+35,ariana grande feat. doja cat & megan thee stallion,21,2021
what you know bout love,pop smoke,22,2021
my ex's best friend,machine gun kelly x blackbear,23,2021
industry baby,lil nas x & jack harlow,24,2021
therefore i am,billie eilish,25,2021
up,cardi b,26,2021
fancy like,walker hayes,27,2021
dakiti,bad bunny & jhay cortez,28,2021
best friend,saweetie featuring doja cat,29,2021
rapstar,polo g,30,2021
heartbreak anniversary,giveon,31,2021
for the night,pop smoke featuring lil baby & dababy,32,2021
calling my phone,lil tjay featuring 6lack,33,2021
beautiful mistakes,maroon 5 featuring megan thee stallion,34,2021
holy,justin bieber featuring chance the rapper,35,2021
on me,lil baby,36,2021
you broke me first.,tate mcrae,37,2021
traitor,olivia rodrigo,38,2021
back in blood,pooh shiesty featuring lil durk,39,2021
i hope,gabby barrett featuring charlie puth,40,2021
dynamite,bts,41,2021
wockesha,moneybagg yo,42,2021
you right,doja cat & the weeknd,43,2021
beat box,spotemgottem featuring pooh shiesty or dababy,44,2021
laugh now cry later,drake featuring lil durk,45,2021
need to know,doja cat,46,2021
wants and needs,drake featuring lil baby,47,2021
way 2 sexy,drake featuring future & young thug,48,2021
telepatia,kali uchis,49,2021
whoopty,cj,50,2021
lemonade,internet money & gunna featuring don toliver & nav,51,2021
good days,sza,52,2021
starting over,chris stapleton,53,2021
body,megan thee stallion,54,2021
willow,taylor swift,55,2021
bang!,ajr,56,2021
better together,luke combs,57,2021
you're mines still,yung bleu featuring drake,58,2021
every chance i get,dj khaled featuring lil baby & lil durk,59,2021
essence,wizkid featuring justin bieber & tems,60,2021
chasing after you,ryan hurd with maren morris,61,2021
the good ones,gabby barrett,62,2021
leave before you love me,marshmello x jonas brothers,63,2021
glad you exist,dan + shay,64,2021
lonely,justin bieber & benny blanco,65,2021
beggin',maneskin,66,2021
streets,doja cat,67,2021
what's next,drake,68,2021
famous friends,chris young + kane brown,69,2021
lil bit,nelly & florida georgia line,70,2021
thot shit,megan thee stallion,71,2021
late at night,roddy ricch,72,2021
kings & queens,ava max,73,2021
anyone,justin bieber,74,2021
track star,mooski,75,2021
time today,moneybagg yo,76,2021
cry baby,megan thee stallion featuring dababy,77,2021
all i want for christmas is you,mariah carey,78,2021
no more parties,coi leray featuring lil durk,79,2021
what's your country song,thomas rhett,80,2021
one too many,keith urban duet with p!nk,81,2021
arcade,duncan laurence,82,2021
yonaguni,bad bunny,83,2021
good time,niko moon,84,2021
if i didn't love you,jason aldean & carrie underwood,85,2021
knife talk,drake featuring 21 savage & project pat,86,2021
pov,ariana grande,87,2021
just the way,parmalee x blanco brown,88,2021
take my breath,the weeknd,89,2021
we're good,dua lipa,90,2021
hell of a view,eric church,91,2021
rockin' around the christmas tree,brenda lee,92,2021
put your records on,ritt momney,93,2021
happier than ever,billie eilish,94,2021
single saturday night,cole swindell,95,2021
things a man oughta know,lainey wilson,96,2021
throat baby (go baby),brs kash,97,2021
tombstone,rod wave,98,2021
drinkin' beer. talkin' god. amen.,chase rice featuring florida georgia line,99,2021
todo de ti,rauw alejandro,100,2021
blinding lights,the weeknd,1,2020
circles,post malone,2,2020
the box,roddy ricch,3,2020
don't start now,dua lipa,4,2020
rockstar,dababy featuring roddy ricch,5,2020
adore you,harry styles,6,2020
life is good,future featuring drake,7,2020
memories,maroon 5,8,2020
the bones,maren morris,9,2020
someone you loved,lewis capaldi,10,2020
say so,doja cat,11,2020
i hope,gabby barrett featuring charlie puth,12,2020
whats poppin,"jack harlow featuring dababy, tory lanez & lil wayne",13,2020
dance monkey,tones and i,14,2020
savage,megan thee stallion,15,2020
roxanne,arizona zervas,16,2020
intentions,justin bieber featuring quavo,17,2020
everything i wanted,billie eilish,18,2020
roses,saint jhn,19,2020
watermelon sugar,harry styles,20,2020
before you go,lewis capaldi,21,2020
falling,trevor daniel,22,2020
"10,000 hours",dan + shay & justin bieber,23,2020
wap,cardi b featuring megan thee stallion,24,2020
ballin',mustard & roddy ricch,25,2020
hot girl bummer,blackbear,26,2020
blueberry faygo,lil mosey,27,2020
heartless,the weeknd,28,2020
bop,dababy,29,2020
lose you to love me,selena gomez,30,2020
good as hell,lizzo,31,2020
toosie slide,drake,32,2020
break my heart,dua lipa,33,2020
chasin' you,morgan wallen,34,2020
savage love (laxed - siren beat),jawsh 685 x jason derulo,35,2020
no guidance,chris brown featuring drake,36,2020
my oh my,camila cabello featuring dababy,37,2020
dynamite,bts,38,2020
go crazy,chris brown & young thug,39,2020
high fashion,roddy ricch featuring mustard,40,2020
laugh now cry later,drake featuring lil durk,41,2020
woah,lil baby,42,2020
death bed,powfu featuring beabadoobee,43,2020
senorita,shawn mendes & camila cabello,44,2020
highest in the room,travis scott,45,2020
bad guy,billie eilish,46,2020
mood,24kgoldn featuring iann dior,47,2020
