,song_name,artist,location_at_chart,year_of_billboard,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,tracks_popularity,entered_biilboard,release_year
0,heat waves,glass animals,1.0,2022.0,02MWAaffLxlfxAUY7c5dvx,0.7609999999999999,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4,88,1.0,
1,as it was,harry styles,2.0,2022.0,4LRPiXqCikLlN15c3yImP7,0.52,0.731,6,-5.337999999999999,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4,94,1.0,
2,stay,the kid laroi & justin bieber,3.0,2022.0,5HCyWlXZPP0y6Gqq8TgA20,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4,89,1.0,
3,easy on me,adele,4.0,2022.0,0gplL1WMoJ6iYaPgMCL0gX,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,4,85,1.0,
4,shivers,ed sheeran,5.0,2022.0,50nfwKoDiSYg8zOCREWAm5,0.7879999999999999,0.8590000000000001,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.8220000000000001,141.02,207853,4,88,1.0,
5,first class,jack harlow,6.0,2022.0,0wHFktze2PHC5jDt3B17DC,0.902,0.5820000000000001,5,-5.902,0,0.109,0.111,3.18e-06,0.111,0.332,107.005,173948,4,86,1.0,
6,big energy,latto,7.0,2022.0,6Zu3aw7FfjAF9WA0fA81Oq,0.935,0.807,11,-3.838,0,0.114,0.0514,0.0,0.349,0.813,106.017,173182,4,78,1.0,
7,ghost,justin bieber,8.0,2022.0,4h5x3XHLVYFJaItKuO2rhy,0.624,0.433,6,-9.572,1,0.0467,0.8370000000000001,0.0294,0.113,0.589,124.979,218587,4,86,1.0,
8,super gremlin,kodak black,9.0,2022.0,4A8cWXxKfIL3lAyUDzXbCF,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993,200548,4,77,1.0,
9,cold heart (pnau remix),elton john & dua lipa,10.0,2022.0,6zSpb8dQRaw0M1dK8PBwQz,0.7959999999999999,0.7979999999999999,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,202735,4,88,1.0,
10,wait for u,future featuring drake & tems,11.0,2022.0,59nOXPmaKlBfGMDeOVGrIK,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,189893,4,88,1.0,
11,about damn time,lizzo,12.0,2022.0,1PckUlxKqWQs3RlWXVBLw3,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,191822,4,86,1.0,
