,song_name,artist,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,tracks_popularity,entered_biilboard
0,heat waves,glass animals,02MWAaffLxlfxAUY7c5dvx,0.7609999999999999,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4,88,1
1,as it was,harry styles,4LRPiXqCikLlN15c3yImP7,0.52,0.731,6,-5.337999999999999,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4,94,1
2,stay,the kid laroi & justin bieber,5HCyWlXZPP0y6Gqq8TgA20,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4,89,1
3,easy on me,adele,0gplL1WMoJ6iYaPgMCL0gX,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,4,85,1
4,shivers,ed sheeran,50nfwKoDiSYg8zOCREWAm5,0.7879999999999999,0.8590000000000001,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.8220000000000001,141.02,207853,4,88,1
5,first class,jack harlow,0wHFktze2PHC5jDt3B17DC,0.902,0.5820000000000001,5,-5.902,0,0.109,0.111,3.18e-06,0.111,0.332,107.005,173948,4,86,1
6,big energy,latto,6Zu3aw7FfjAF9WA0fA81Oq,0.935,0.807,11,-3.838,0,0.114,0.0514,0.0,0.349,0.813,106.017,173182,4,78,1
7,ghost,justin bieber,4h5x3XHLVYFJaItKuO2rhy,0.624,0.433,6,-9.572,1,0.0467,0.8370000000000001,0.0294,0.113,0.589,124.979,218587,4,86,1
8,super gremlin,kodak black,4A8cWXxKfIL3lAyUDzXbCF,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993,200548,4,77,1
9,cold heart (pnau remix),elton john & dua lipa,6zSpb8dQRaw0M1dK8PBwQz,0.7959999999999999,0.7979999999999999,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,202735,4,88,1
10,wait for u,future featuring drake & tems,59nOXPmaKlBfGMDeOVGrIK,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,189893,4,88,1
11,about damn time,lizzo,1PckUlxKqWQs3RlWXVBLw3,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,191822,4,86,1
12,bad habits,ed sheeran,3rmo8F54jFF8OgYsqTxm5d,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,230747,4,88,1
13,thats what i want,lil nas x,0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.98100000000002,143901,4,86,1
14,enemy,imagine dragons x jid,1r9xUipOqoNwggBpENDsvJ,0.728,0.7829999999999999,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.01100000000002,173381,4,86,1
15,industry baby,lil nas x & jack harlow,27NovPIUIRrOZoCHxABJwK,0.736,0.7040000000000001,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,212000,4,85,1
16,abcdefu,gayle,4fouWK6XVHhzl78KzQ1UjL,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.3670000000000001,0.415,121.932,168602,4,86,1
17,need to know,doja cat,3Vi5XqYrmQgOYBajMWSvCi,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,210560,4,84,1
18,wasted on you,morgan wallen,3cBsEDNhFI9E82vPj3kvi3,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,178520,3,84,1
19,me porto bonito,bad bunny & chencho corleone,6Sq7ltF9Qa7SNFBsV5Cogx,0.911,0.7120000000000001,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,178567,4,96,1
20,woman,doja cat,6Uj1ctrBOjOas8xZXGqKk4,0.8240000000000001,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.8809999999999999,107.998,172627,4,88,1
21,titi me pregunto,bad bunny,1IHWl5LamUGEuP4ozKQSXZ,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,243717,4,95,1
22,running up that hill (a deal with god),kate bush,29d0nY7TzCoi22XBqDQkiP,0.625,0.5329999999999999,10,-11.903,0,0.0596,0.659,0.00266,0.0546,0.139,108.296,300840,4,82,1
23,we don't talk about bruno,"carolina gaitan, mauro castillo, adassa, rhenzy feliz, diane guerrero, stephanie beatriz & encanto cast",52xJxFP6TqMuO4Yt0eOkMz,0.5770000000000001,0.45,0,-8.516,0,0.0834,0.357,0.0,0.111,0.83,205.863,216120,4,79,1
24,late night talking,harry styles,1qEmFfgcLObUfQm0j1W2CK,0.7140000000000001,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,177955,4,91,1
25,i like you (a happier song),post malone featuring doja cat,0O6u0VJ46W86TxN9wgyqDj,0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,192841,4,90,1
26,you proof,morgan wallen,5uU1uuyaUIBOiiUSQG7Wl3,0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,0.644,119.706,157478,4,86,1
27,bad habit,steve lacy,5CM4UuQ9Gnd6K2YyKGPMoK,0.6859999999999999,0.507,1,-7.097,1,0.0357,0.626,7.509999999999998e-05,0.383,0.69,168.955,232115,4,90,1
28,sunroof,nicky youre & dazy,4h4QlmocP3IuwYEj2j14p8,0.768,0.7140000000000001,10,-5.11,1,0.0401,0.352,0.0,0.15,0.8420000000000001,131.44299999999998,163026,4,90,1
29,one right now,post malone & the weeknd,00Blm7zeNqgYLPtW6zg8cj,0.687,0.7809999999999999,1,-4.806,1,0.053,0.0361,0.0,0.0755,0.688,97.014,193507,4,81,1
30,good 4 u,olivia rodrigo,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147,4,88,1
31,numb little bug,em beihold,3o9kpgkIcffx0iSwxhuNI2,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.97399999999998,169238,4,78,1
32,jimmy cooks,drake featuring 21 savage,3F5CgOj3wFlRv51JsHbxhe,0.529,0.6729999999999999,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365,4,90,1
33,'til you can't,cody johnson,4k3lPl8YTKuY8c1HelVnm3,0.501,0.815,1,-4.865,1,0.0436,0.0513,0.0,0.106,0.46,160.08700000000005,224213,4,76,1
